Potential Resistance region,,Region length,Reads mapped to region,reads mapped per kilobase region
gb|AF518567|+|2320-3196|ARO:3001887|CTX-M-25,,877,0,0
gb|JQ364968|+|3332-4229|ARO:3002252|CARB-14,,898,0,0
gb|AJ011428|+|0-861|ARO:3001074|SHV-15,,861,0,0
gb|EU477409|+|0-308|ARO:3001161|SHV-112,,309,0,0
gb|U92041|+|0-861|ARO:3001067|SHV-8,,861,0,0
gb|AB566411|+|0-1545|ARO:3003046|qacA,,1545,0,0
gb|AF117745|+|0-780|ARO:3001079|SHV-21,,780,0,0
gb|AY661734.1|+|839-2195|ARO:3000026|mepA,,1356,0,0
gb|KP050491|+|0-861|ARO:3001391|TEM-214,,861,0,0
gb|GQ853679|+|0-825|ARO:3001453|OXA-148,,825,0,0
gb|KF513180|+|0-876|ARO:3002005|CTX-M-147,,876,0,0
gb|DQ449578|+|0-657|ARO:3002790|QnrS1,,657,0,0
gb|AF016483|+|0-906|ARO:3002637|APH(2'')-IVa,,906,0,0
gb|JX131372|+|1478-2279|ARO:3001797|OXA-46,,802,0,0
gb|AJ635424|+|0-789|ARO:3002458|LEN-8,,789,0,0
gb|DQ212986|+|2979-4086|ARO:3002937|vanSG,,1108,0,0
gb|EF614235|+|2948-3749|ARO:3002272|VIM-2,,802,0,0
gb|AF441287|+|260-1007|ARO:3000844|TUS-1,,748,0,0
gb|HQ631377|+|0-657|ARO:3002794|QnrS5,,657,0,0
gb|EU547445|+|0-825|ARO:3001651|OXA-130,,825,0,0
gb|L25634|+|1273-2158|ARO:3003562|TLE,,885,0,0
gb|KF421160|+|0-822|ARO:3001544|OXA-357,,822,0,0
gb|AF203816|+|210-1071|ARO:3000937|TEM-71,,862,0,0
gb|KJ174469|+|710-1220|ARO:3002863|dfrA8,,511,0,0
gb|JN603240|+|0-825|ARO:3001489|OXA-217,,825,0,0
gb|HQ734813|+|0-825|ARO:3001667|OXA-202,,825,0,0
gb|KF297581|+|0-822|ARO:3001539|OXA-352,,822,0,0
gb|KF986261|-|44-869|ARO:3001566|OXA-380,,826,0,0
gb|EU250284|+|4730-5426|ARO:3002927|vanRL,,697,0,0
gb|L06160|+|983-1721|ARO:3002537|AAC(3)-IIIb,,739,0,0
gb|EF653270|+|0-648|ARO:3002725|QnrB11,,648,0,0
gb|EU220745|+|0-786|ARO:3001442|OXA-117,,786,0,0
gb|FJ872530|+|0-825|ARO:3002480|OXA-144,,825,0,0
gb|KF986258|+|14-839|ARO:3001563|OXA-377,,826,0,0
gb|JQ809466|+|5374-6172|ARO:3001788|OXA-204,,799,0,0
gb|EF520349|+|0-681|ARO:3002720|QnrB6,,681,0,0
gb|KF203099|+|0-822|ARO:3001513|OXA-325,,822,0,0
gb|AY590118|+|0-750|ARO:3003556|SLB-1,,750,0,0
gb|X92506|+|0-876|ARO:3001864|CTX-M-1,,876,0,0
gb|X54606|+|214-1075|ARO:3000874|TEM-2,,861,0,0
gb|JX049131|+|0-1149|ARO:3002162|FOX-10,,1149,0,0
gb|KM087852|+|0-1140|ARO:3002147|DHA-16,,1140,0,0
gb|AF467947|+|0-861|ARO:3001094|SHV-36,,861,0,0
gb|HQ317449|+|0-861|ARO:3001373|TEM-182,,861,0,0
gb|AL009126|-|2735681-2736536|ARO:3002627|aadK,,856,0,0
gb|AJ295345|+|0-1173|ARO:3002520|OCH-7,,1173,0,0
gb|NC_003197|-|397056-398262|ARO:3000789|mdsA,,1207,0,0
gb|DQ348075|+|0-825|ARO:3001704|OXA-87,,825,0,0
gb|NC_002951|-|1987719-1989456|ARO:3000489|sav1866,,1738,0,0
gb|KJ207208|+|539-1685|ARO:3001845|ACT-25,,1147,0,0
gb|AY743416|+|67-928|ARO:3002464|LEN-16,,862,0,0
gb|AM051148|+|0-861|ARO:3002426|OKP-A-9,,861,0,0
gb|DQ174308|+|4-865|ARO:3001123|SHV-69,,861,0,0
gb|AY165025|+|0-801|ARO:3002276|VIM-6,,802,0,0
gb|AM176558|+|0-861|ARO:3001137|SHV-83,,861,0,0
gb|AY500137|+|0-798|ARO:3001812|OXA-54,,798,0,0
gb|NC_002516|+|4710620-4712084|ARO:3000809|opmD,,1465,0,0
gb|AM051160|+|0-861|ARO:3002443|OKP-B-10,,861,0,0
gb|EU085533|+|0-519|ARO:3002591|AAC(6')-Ib-Suzhou,,519,0,0
gb|Y17583|+|213-1071|ARO:3000893|TEM-22,,858,0,0
gb|NG_035647.1|+|811-1444|ARO:3002680|catB8,,633,0,0
gb|DQ174307|+|4-865|ARO:3001122|SHV-67,,861,0,0
gb|AB551737|+|14-875|ARO:3001177|SHV-133,,862,0,0
gb|AJ309734|+|0-825|ARO:3001612|OXA-51,,825,0,0
gb|EU408358|-|27458-28439|ARO:3002483|LRA-5,,982,0,0
gb|GQ891757|+|2004-2661|ARO:3002801|QnrVC4,,658,0,0
gb|X95635|+|259-1663|ARO:3000812|mtrE,,1405,0,0
gb|AY700571|+|0-879|ARO:3002314|KPC-4,,880,0,0
gb|AF162694|+|1410-2442|ARO:3000368|vanC,,1033,0,0
gb|HM440348|+|0-744|ARO:3000553|adeR,,745,0,0
gb|DQ519087|+|38-863|ARO:3001628|OXA-93,,826,0,0
gb|HM167760|+|0-876|ARO:3001954|CTX-M-94,,876,0,0
gb|EF685371|+|0-1143|ARO:3002040|CMY-29,,1143,0,0
gb|U59183|+|939-1740|ARO:3001408|OXA-13,,802,0,0
gb|AY292654|+|0-876|ARO:3001892|CTX-M-30,,876,0,0
gb|LC012596|+|3585-4398|ARO:3003182|NDM-13,,814,0,0
gb|KF478993|-|4909-5947|ARO:3002941|vanSO,,1039,0,0
gb|S46063|+|121-1036|ARO:3002242|CARB-3,,916,0,0
gb|AL123456|+|2231679-2232219|ARO:3000392|Erm(37),,541,0,0
gb|AY528718|+|413-1274|ARO:3001106|SHV-49,,862,0,0
gb|DQ834729|+|205-1066|ARO:3001018|TEM-151,,861,0,0
gb|AY368237|+|0-861|ARO:3000990|TEM-128,,861,0,0
gb|NZ_AGSO01000004|+|76451-77432|ARO:3003071|mphE,,982,0,0
gb|EF650032|+|0-825|ARO:3001637|OXA-106,,825,0,0
gb|NC_006350.1|-|2147817-2150949|ARO:3002983|amrB,,3132,0,0
gb|NC_020088.1|+|15617-16478|ARO:3002533|AAC(3)-IIa,,861,0,0
gb|JQ041634|+|1122-1863|ARO:3002220|IMP-29,,742,0,0
gb|AY920928|+|2689-3553|ARO:3002338|GES-9,,865,0,0
gb|JN129451|+|87-888|ARO:3002300|VIM-30,,802,0,0
gb|X04515|+|285-1125|ARO:3002454|LEN-1,,841,0,0
gb|AY260546|+|4477-5341|ARO:3002336|GES-7,,865,0,0
gb|JF949916|+|0-757|ARO:3001051|TEM-191,,757,0,0
gb|AF070999|+|1679-2855|ARO:3000182|tet(Y),,1176,0,0
gb|AF055922|+|1787-2630|ARO:3001299|tlrB,,844,0,0
gb|AF034958|+|0-1230|ARO:3002698|cmlB,,1230,0,0
gb|JX121123|+|0-861|ARO:3001195|SHV-156,,861,0,0
gb|JN211012|+|213-1074|ARO:3001048|TEM-188,,861,0,0
gb|X93314|+|0-927|ARO:3002364|PER-2,,927,0,0
gb|M93113|+|0-660|ARO:3002674|catB,,660,0,0
gb|AF427130|+|208-1069|ARO:3000951|TEM-84,,862,0,0
gb|JX524191|+|395-1271|ARO:3002324|KPC-14,,877,0,0
gb|EF561644|+|0-1146|ARO:3002039|CMY-28,,1146,0,0
gb|KC465199|+|0-882|ARO:3002326|KPC-16,,882,0,0
gb|EU019534|+|0-825|ARO:3001633|OXA-79,,825,0,0
gb|AM919398|+|0-681|ARO:3002732|QnrB17,,681,0,0
gb|GU831575|+|0-843|ARO:3001662|OXA-164,,843,0,0
gb|M55426|+|465-1326|ARO:3002542|AAC(3)-VIIIa,,862,0,0
gb|EU402393|+|0-876|ARO:3001930|CTX-M-69,,876,0,0
gb|Y13612|+|0-861|ARO:3000921|TEM-52,,861,0,0
gb|AF290912|+|0-741|ARO:3002196|IMP-5,,741,0,0
gb|U46859|-|22365-24057|ARO:3003049|rosB,,1693,0,0
gb|X77455|+|700-1849|ARO:3002155|FOX-1,,1150,0,0
gb|AF174129|+|6335-7211|ARO:3001872|CTX-M-9,,877,0,0
gb|J03306|+|0-489|ARO:3003105|dfrA3,,489,0,0
gb|DQ256091|+|98-974|ARO:3001943|CTX-M-82,,877,0,0
gb|KJ934267|+|0-852|ARO:3003175|CARB-19,,852,0,0
gb|AJ635419|+|0-789|ARO:3002460|LEN-10,,789,0,0
gb|KJ158441|+|2732-3377|ARO:3002789|QnrD2,,646,0,0
gb|JF802084|+|1592-2165|ARO:3002969|vanXYN,,574,0,0
gb|FR748153|+|259-1060|ARO:3002296|VIM-26,,802,0,0
gb|KF986254|-|34-859|ARO:3001572|OXA-386,,826,0,0
gb|NC_010400|+|1959577-1960402|ARO:3001620|OXA-75,,826,0,0
gb|DQ267940|+|53-512|ARO:3003020|dfrA25,,460,0,0
gb|AY079099|+|148-1009|ARO:3001096|SHV-38,,862,0,0
gb|DQ489307|+|1070-2243|ARO:3002521|OCH-8,,1174,0,0
gb|KM233164|+|0-861|ARO:3003152|SHV-185,,861,0,0
gb|AY605049|+|127-928|ARO:3002281|VIM-11,,802,0,0
gb|AY847143|+|82-958|ARO:3001909|CTX-M-47,,877,0,0
gb|HF953351|-|2461-3358|ARO:3002255|CARB-16,,898,0,0
gb|AE016830|-|2211932-2212277|ARO:3002916|vanV,,346,0,0
gb|AJ308558|+|181-1042|ARO:3000962|TEM-95,,861,0,0
gb|HE963768|+|0-825|ARO:3001672|OXA-120,,825,0,0
gb|AY528425|+|0-861|ARO:3000997|TEM-133,,861,0,0
gb|NC_010410|-|1255006-1256458|ARO:3000779|adeH,,1453,0,0
gb|AY101578|+|214-1075|ARO:3000969|TEM-106,,862,0,0
gb|AF031327|+|0-441|ARO:3002562|AAC(6')-Is,,441,0,0
gb|JX023441|+|37-901|ARO:3002351|GES-22,,865,0,0
gb|AF148067|+|213-1158|ARO:3003202|TLA-1,,945,0,0
gb|EF660563|+|392-845|ARO:3002850|arr-5,,454,0,0
gb|DQ303920|+|0-681|ARO:3002716|QnrB3,,681,0,0
gb|AY101764|+|206-1067|ARO:3000970|TEM-107,,862,0,0
gb|JQ711184|+|1026-2172|ARO:3002084|CMY-71,,1147,0,0
gb|JN227085|+|351-1227|ARO:3001977|CTX-M-117,,877,0,0
gb|HM439643|+|0-645|ARO:3002743|QnrB28,,645,0,0
gb|JX982634|+|0-801|ARO:3002305|VIM-35,,801,0,0
gb|HQ700343|+|0-786|ARO:3001783|OXA-163,,786,0,0
gb|EU571228|+|822-1644|ARO:3001702|OXA-133,,823,0,0
gb|S82452|+|120-978|ARO:3001068|SHV-9,,859,0,0
gb|AF535087|+|28-1573|ARO:3003047|qacB,,1546,0,0
gb|FJ872411|+|40765-41347|ARO:3002967|vanXYE,,583,0,0
gb|AY949202|+|0-825|ARO:3001622|OXA-77,,825,0,0
gb|AM051157|+|0-861|ARO:3002441|OKP-B-8,,861,0,0
gb|HM246246|+|211-1069|ARO:3001047|TEM-187,,858,0,0
gb|AM850917|+|17-878|ARO:3002439|OKP-B-6,,861,0,0
gb|DQ361087|+|356-1097|ARO:3002213|IMP-22,,742,0,0
gb|AM176557|+|0-861|ARO:3001136|SHV-82,,861,0,0
gb|AF315351|+|672-1500|ARO:3001426|OXA-32,,829,0,0
gb|DQ023162|+|0-876|ARO:3001903|CTX-M-41,,876,0,0
gb|AJ416344|+|303-1179|ARO:3001882|CTX-M-20,,876,0,0
gb|JQ422053|+|99-930|ARO:3001691|OXA-228,,832,0,0
gb|NC_009725|+|543798-544848|ARO:3002814|clbA,,1051,0,0
gb|EU086834|+|88-898|ARO:3001767|OXA-137,,811,0,0
gb|EU086830|+|88-898|ARO:3001765|OXA-136,,811,0,0
gb|M18967|+|756-1314|ARO:3002545|AAC(6')-Ia,,559,0,0
gb|L06157|+|554-1085|ARO:3002530|AAC(3)-Ib,,532,0,0
gb|KP050484|+|0-1146|ARO:3002170|MIR-5,,1146,0,0
gb|X98101|+|73-934|ARO:3001070|SHV-11,,862,0,0
gb|KC539823|+|1017-2586|ARO:3002829|vgaA,,1570,0,0
gb|AY072920|+|0-861|ARO:3000973|TEM-110,,861,0,0
gb|JX298080|+|433-1078|ARO:3002734|QnrB19,,646,0,0
gb|AJ703795|+|0-1149|ARO:3002160|FOX-7,,1149,0,0
gb|AM941846|+|0-900|ARO:3001338|SHV-100,,900,0,0
gb|JX262694|+|0-813|ARO:3002357|NDM-7,,813,0,0
gb|GQ414736|+|0-801|ARO:3002290|VIM-20,,801,0,0
gb|AJ012256|+|208-1069|ARO:3000939|TEM-73,,861,0,0
gb|AM051146|+|0-861|ARO:3002424|OKP-A-7,,861,0,0
gb|DQ105528|+|0-861|ARO:3001012|TEM-145,,861,0,0
gb|AM087455|+|291-1011|ARO:3002262|IND-6,,721,0,0
gb|JN790863|+|232-1108|ARO:3001981|CTX-M-122,,877,0,0
gb|JYFL01000006.1|-|112069-113503|ARO:3002813|lmrB,,1434,0,0
gb|NC_011595|-|1249018-1249348|ARO:3000768|abeS,,331,0,0
gb|JN166690|+|0-681|ARO:3002756|QnrB41,,681,0,0
gb|AM176550|+|30-891|ARO:3001129|SHV-75,,861,0,0
gb|X52872|+|220-1138|ARO:3002995|ROB-1,,919,0,0
gb|AF174129|+|1351-1825|ARO:3003014|dfrA16,,475,0,0
gb|AM051140|+|0-861|ARO:3002420|OKP-A-3,,861,0,0
gb|X91840|+|0-1146|ARO:3002013|CMY-2,,1146,0,0
gb|AJ605332|+|1303-1813|ARO:3003016|dfrA20,,511,0,0
gb|EU419746|+|0-801|ARO:3002286|VIM-16,,801,0,0
gb|KF986253|-|15-840|ARO:3001571|OXA-385,,826,0,0
gb|DQ519090|+|62-905|ARO:3001631|OXA-96,,844,0,0
gb|DQ173429|+|0-879|ARO:3001859|IMI-2,,879,0,0
gb|JX310327|+|0-861|ARO:3001378|TEM-201,,861,0,0
gb|KF460531|+|0-831|ARO:3001548|OXA-361,,831,0,0
gb|JX121120|+|0-858|ARO:3001192|SHV-153,,858,0,0
gb|KF203102|+|0-822|ARO:3001516|OXA-328,,822,0,0
gb|EF136375|+|0-900|ARO:3002373|VEB-4,,900,0,0
gb|AY590119|+|0-735|ARO:3003557|SFB-1,,735,0,0
gb|JN861779|+|0-825|ARO:3001710|OXA-211,,825,0,0
gb|AB744718|+|0-813|ARO:3002358|NDM-8,,813,0,0
gb|FJ848783|+|1270-2071|ARO:3001801|OXA-147,,802,0,0
gb|AY661885|+|48-909|ARO:3001088|SHV-30,,862,0,0
gb|HQ456945|+|0-1140|ARO:3002136|DHA-7,,1140,0,0
gb|AY750910|+|0-825|ARO:3001616|OXA-68,,825,0,0
gb|HQ704413|+|0-681|ARO:3002761|QnrB46,,681,0,0
gb|AJ878850|+|1196-1829|ARO:3003110|catB10,,634,0,0
gb|JF900599|+|0-801|ARO:3002298|VIM-28,,801,0,0
gb|AY769962|+|2434-5611|ARO:3000781|adeJ,,3178,0,0
gb|Y17582|+|0-858|ARO:3000892|TEM-21,,858,0,0
gb|KF297584|+|0-831|ARO:3001542|OXA-355,,831,0,0
gb|AJ252200|+|4493-5894|ARO:3003057|smeF,,1402,0,0
gb|KF203106|+|0-822|ARO:3001520|OXA-332,,822,0,0
gb|AB737978|+|0-1140|ARO:3001827|ACT-16,,1141,0,0
gb|AF030945|+|95-962|ARO:3002245|CARB-6,,868,0,0
gb|NC_009487|+|40848-42606|ARO:3000215|mecR1,,1759,0,0
gb|KF297578|+|0-822|ARO:3001536|OXA-349,,822,0,0
gb|AY039040|+|188-1022|ARO:3000956|TEM-89,,834,0,0
gb|AB116260|+|1329-2193|ARO:3002333|GES-4,,865,0,0
gb|EU029998|+|575-1400|ARO:3001440|OXA-115,,826,0,0
gb|D38215|+|0-1539|ARO:3002893|tcr3,,1539,0,0
gb|Z48231|+|220-763|ARO:3002898|SAT-3,,544,0,0
gb|AJ250203|+|1650-2883|ARO:3000476|tet(31),,1233,0,0
gb|M22999|+|492-1359|ARO:3002541|AAC(3)-VIIa,,868,0,0
gb|AM403715|+|302-854|ARO:3002857|dfrA26,,553,0,0
gb|JX206446|+|0-828|ARO:3001610|OXA-243,,828,0,0
gb|JN215211|+|0-825|ARO:3001668|OXA-219,,825,0,0
gb|JQ029959|+|28-889|ARO:3001184|SHV-142,,862,0,0
gb|EU118148|+|2006-2402|ARO:3002584|AAC(6')-29b,,397,0,0
gb|AY144612|+|0-801|ARO:3002275|VIM-5,,801,0,0
gb|EF468463|+|66-927|ARO:3001028|TEM-162,,862,0,0
gb|FJ360626|+|0-1146|ARO:3002054|CMY-43,,1146,0,0
gb|AF093512|+|197-1058|ARO:3000882|TEM-10,,862,0,0
gb|AY515297|+|0-876|ARO:3001896|CTX-M-34,,876,0,0
gb|EF418608|+|9-885|ARO:3001926|CTX-M-65,,877,0,0
gb|KM087863|+|0-1146|ARO:3002177|MIR-12,,1146,0,0
gb|AF219131|+|0-720|ARO:3002259|IND-3,,720,0,0
gb|AB900900|+|0-876|ARO:3001994|CTX-M-137,,876,0,0
gb|EU515250|+|0-1146|ARO:3002038|CMY-27,,1146,0,0
gb|KM087857|+|0-741|ARO:3002239|IMP-48,,741,0,0
gb|U63835|+|127-955|ARO:3001410|OXA-15,,829,0,0
gb|AF201826|+|21-849|ARO:3001420|OXA-25,,829,0,0
gb|L29044|+|351-792|ARO:3002555|AAC(6')-Ih,,442,0,0
gb|HM488992|+|0-822|ARO:3001471|OXA-171,,822,0,0
gb|HM544039|+|0-1152|ARO:3002065|CMY-54,,1152,0,0
gb|AY243512|+|208-1069|ARO:3000982|TEM-120,,861,0,0
gb|FJ418153|+|0-657|ARO:3002793|QnrS4,,657,0,0
gb|AF467948|+|0-861|ARO:3001095|SHV-37,,861,0,0
gb|JQ837239|+|0-822|ARO:3001498|OXA-239,,822,0,0
gb|HM015773|+|2126-2924|ARO:3001776|OXA-162,,799,0,0
gb|S81599|+|281-1076|ARO:3002651|APH(3')-Vc,,796,0,0
gb|AJ276453|+|4619-5768|ARO:3002183|MOX-2,,1150,0,0
gb|JN790864|+|238-1114|ARO:3001982|CTX-M-123,,877,0,0
gb|JN086160|-|1582-2407|ARO:3001777|OXA-347,,826,0,0
gb|FJ872411|+|43513-44203|ARO:3002924|vanRE,,691,0,0
gb|EF136376|+|0-861|ARO:3001025|TEM-159,,861,0,0
gb|AF064820|+|951-1776|ARO:3001417|OXA-22,,826,0,0
gb|AY750914|+|0-873|ARO:3001902|CTX-M-40,,873,0,0
gb|AM408573|-|10027-11077|ARO:3003441|cfrA,,1050,0,0
gb|FR734406|+|0-906|ARO:3003106|Erm(42),,906,0,0
gb|KC900516|+|0-858|ARO:3001382|TEM-205,,858,0,0
gb|KF732714|+|0-657|ARO:3002798|QnrS9,,657,0,0
gb|KM087843|+|0-1146|ARO:3001851|ACT-31,,1146,0,0
gb|GU827715|+|0-861|ARO:3001176|SHV-129,,861,0,0
gb|HM755448|+|244-1120|ARO:3001957|CTX-M-98,,877,0,0
gb|U09991|+|27-1338|ARO:3002700|cmlv,,1312,0,0
gb|X03615|+|231-1230|ARO:3002661|APH(7'')-Ia,,1000,0,0
gb|AM998375|+|1172-2084|ARO:3000853|AIM-1,,913,0,0
gb|AY847145|+|81-957|ARO:3001911|CTX-M-49,,877,0,0
gb|KF663615|+|0-858|ARO:3001390|TEM-213,,858,0,0
gb|GU060319|+|624-861|ARO:3003023|dfrB6,,238,0,0
gb|AJ866285|+|0-861|ARO:3001117|SHV-62,,861,0,0
gb|NC_004771|-|3524-4157|ARO:3002675|catB2,,634,0,0
gb|EU136031|+|0-876|ARO:3001942|CTX-M-81,,876,0,0
gb|AY139601|+|110-404|ARO:3002864|dfrB1,,295,0,0
gb|FR682582|+|0-876|ARO:3001959|CTX-M-100,,876,0,0
gb|EU408349|+|107-1025|ARO:3002487|LRA-8,,919,0,0
gb|EU496816|+|0-1140|ARO:3002044|CMY-33,,1140,0,0
gb|X06599|+|272-1193|ARO:3002877|BcI,,922,0,0
gb|AF231133|+|1345-2146|ARO:3001423|OXA-28,,802,0,0
gb|M97297|+|3976-4671|ARO:3002919|vanRA,,696,0,0
gb|AM176547|+|30-891|ARO:3001126|SHV-72,,861,0,0
gb|L29045|+|259-700|ARO:3002557|AAC(6')-Ij,,442,0,0
gb|FJ854362|+|701-1565|ARO:3002340|GES-11,,865,0,0
gb|M19269|+|459-1419|ARO:3001304|ErmS,,961,0,0
gb|JF949915|+|0-754|ARO:3001052|TEM-192,,754,0,0
gb|AF189721|+|273-1149|ARO:3001871|CTX-M-8,,877,0,0
gb|AF162771|+|61-643|ARO:3002596|AAC(6')-IIc,,583,0,0
gb|AB074436|+|16-754|ARO:3002202|IMP-11,,739,0,0
gb|JQ820241|+|0-831|ARO:3001678|OXA-237,,831,0,0
gb|AF162694|+|3007-5104|ARO:3002970|vanTC,,2098,0,0
gb|AJ437107|+|208-1069|ARO:3000900|TEM-30,,862,0,0
gb|FN397623|+|1188-1641|ARO:3002852|arr-7,,454,0,0
gb|AB104852|+|1934-2486|ARO:3002573|AAC(6')-Iae,,553,0,0
gb|EU408355|+|24321-25482|ARO:3002492|LRA-18,,1162,0,0
gb|AY458224|+|706-1183|ARO:3002529|AAC(3)-Id,,478,0,0
gb|EU675686|+|1956-2409|ARO:3002848|arr-3,,454,0,0
gb|EU250284|+|5415-6510|ARO:3002938|vanSL,,1096,0,0
gb|U41471|+|264-852|ARO:3002524|AAC(2')-Ib,,589,0,0
gb|DQ058662|+|0-657|ARO:3002710|QnrA4,,657,0,0
gb|CP000768|+|1406494-1409617|ARO:3000784|cmeB,,3124,0,0
gb|EF373973|+|0-861|ARO:3001149|SHV-97,,861,0,0
gb|KF513177|+|0-861|ARO:3001356|SHV-172,,861,0,0
gb|HG934763|+|0-861|ARO:3001394|TEM-217,,861,0,0
gb|FJ349556|+|981-1680|ARO:3002928|vanRM,,700,0,0
gb|AB636283|+|0-843|ARO:3000854|SMB-1,,843,0,0
gb|AY847144|+|81-957|ARO:3001910|CTX-M-48,,877,0,0
gb|FJ624872|+|0-851|ARO:3002319|KPC-9,,852,0,0
gb|JQ733577|+|1026-2172|ARO:3002093|CMY-80,,1147,0,0
gb|HQ634775|+|3012-3801|ARO:3001805|OXA-198,,790,0,0
gb|AJ295340|+|0-1173|ARO:3002515|OCH-2,,1173,0,0
gb|X57972|+|339-1200|ARO:3000878|TEM-6,,861,0,0
gb|GU169702|+|608-1472|ARO:3002342|GES-13,,865,0,0
gb|DQ885477|+|0-876|ARO:3001917|CTX-M-55,,876,0,0
gb|Y10282|+|0-1149|ARO:3002156|FOX-2,,1150,0,0
gb|EU024485|+|0-861|ARO:3001151|SHV-102,,861,0,0
gb|JQ838185|+|0-828|ARO:3001485|OXA-207,,828,0,0
gb|AY065991|+|6-867|ARO:3001101|SHV-43,,862,0,0
gb|HM066995|+|0-882|ARO:3002321|KPC-11,,882,0,0
gb|AY223863|+|170-1031|ARO:3001113|SHV-57,,861,0,0
gb|EF415650|+|0-1146|ARO:3002035|CMY-24,,1146,0,0
gb|AY265890|+|0-472|ARO:3002476|LEN-6,,472,0,0
gb|AJ295342|+|0-1173|ARO:3002517|OCH-4,,1173,0,0
gb|AF540889|+|0-327|ARO:3002871|tet37,,328,0,0
gb|EU541448|+|0-741|ARO:3002216|IMP-25,,741,0,0
gb|KF297579|+|0-822|ARO:3001537|OXA-350,,822,0,0
gb|AY248038|+|2072-2939|ARO:3002248|CARB-9,,868,0,0
gb|AY619003|+|703-1510|ARO:3001764|OXA-63,,808,0,0
gb|FN396876|-|2406-3219|ARO:3000589|NDM-1,,813,0,0
gb|AF031330|+|0-441|ARO:3002566|AAC(6')-Iv,,441,0,0
gb|KF478993|+|490-1543|ARO:3002948|vanHO,,1054,0,0
gb|AJ746361|-|6742-7303|ARO:3003019|dfrA23,,562,0,0
gb|AY210887|+|111-972|ARO:3001104|SHV-46,,862,0,0
gb|AB777500|+|2034-2775|ARO:3002234|IMP-43,,742,0,0
gb|EU496815|+|0-1146|ARO:3002043|CMY-32,,1146,0,0
gb|AF226622|+|54-915|ARO:3001073|SHV-14,,862,0,0
gb|AB715422|+|1695-2436|ARO:3002225|IMP-34,,741,0,0
gb|KF203098|+|0-822|ARO:3001512|OXA-324,,822,0,0
gb|U56415|+|279-1719|ARO:3002884|iri,,1441,0,0
gb|DQ286729|+|0-861|ARO:3000924|TEM-55,,861,0,0
gb|AB894099|+|4218-5697|ARO:3000785|cmeC,,1479,0,0
gb|AJ567481|+|0-876|ARO:3001893|CTX-M-31,,877,0,0
gb|EU545409|+|80-956|ARO:3001947|CTX-M-87,,876,0,0
gb|AL123456|-|3773015-3773567|ARO:3003035|mfpA,,553,0,0
gb|DQ058661|+|0-657|ARO:3002709|QnrA3,,657,0,0
gb|AY227050|+|130-895|ARO:3003100|cphA4,,766,0,0
gb|JX121117|+|0-858|ARO:3001189|SHV-150,,858,0,0
gb|AJ635402|+|0-861|ARO:3002434|OKP-B-1,,861,0,0
gb|GQ149347|+|5269-6130|ARO:3001037|TEM-171,,861,0,0
gb|NC_017349.1|-|35680-37678|ARO:3001209|mecC,,1998,0,0
gb|L19940|+|197-1006|ARO:3000896|TEM-26,,809,0,0
gb|AF357597|+|250-1399|ARO:3002021|CMY-10,,1150,0,0
gb|FR865168|+|0-825|ARO:3001488|OXA-216,,825,0,0
gb|AY589494|+|193-1054|ARO:3000976|TEM-113,,861,0,0
gb|AF090141|+|242-1115|ARO:3000850|GOB-1,,874,0,0
gb|L07945|+|60-888|ARO:3001398|OXA-3,,829,0,0
gb|KM211691|+|0-876|ARO:3003166|CTX-M-158,,876,0,0
gb|JQ388884|+|0-861|ARO:3001183|SHV-141,,861,0,0
gb|EU177100|+|4-880|ARO:3001929|CTX-M-68,,877,0,0
gb|FJ228229|+|553-1198|ARO:3002788|QnrD1,,646,0,0
gb|M11587|+|879-1533|ARO:3002670|cat,,655,0,0
gb|AJ312056|+|385-1036|ARO:3002670|cat,,652,0,0
gb|M58472|+|147-777|ARO:3002670|cat,,631,0,0
gb|NC_002096|+|1148-1796|ARO:3002670|cat,,649,0,0
gb|M58516|+|89-719|ARO:3002670|cat,,630,0,0
gb|AY238971|+|1054-1741|ARO:3002670|cat,,688,0,0
gb|M64281|+|0-648|ARO:3002670|cat,,648,0,0
gb|X60827|+|87-735|ARO:3002670|cat,,649,0,0
gb|AB080798|+|2658-3309|ARO:3002670|cat,,652,0,0
gb|AF117744|+|0-780|ARO:3001078|SHV-20,,780,0,0
gb|AF427129|+|208-1069|ARO:3000950|TEM-83,,862,0,0
gb|JX121124|+|0-861|ARO:3001196|SHV-157,,861,0,0
gb|AY825330|+|0-861|ARO:3002446|OKP-B-13,,862,0,0
gb|JX121128|+|0-861|ARO:3001200|SHV-161,,861,0,0
gb|JF411006|+|951-1368|ARO:3002872|FosA3,,418,0,0
gb|M20305|+|778-1594|ARO:3002642|APH(3')-Ib,,817,0,0
gb|AJ239002|+|0-861|ARO:3000935|TEM-68,,861,0,0
gb|GQ205627|+|3036-3687|ARO:3002845|vatH,,652,0,0
gb|HQ398215|+|244-1120|ARO:3001961|CTX-M-102,,877,0,0
gb|FJ437066|+|0-1134|ARO:3002055|CMY-44,,1134,0,0
gb|AY960293|+|0-1143|ARO:3002031|CMY-20,,1143,0,0
gb|AF252622|+|1740-2616|ARO:3001877|CTX-M-14,,877,0,0
gb|EU273757|+|0-681|ARO:3002728|QnrB14,,681,0,0
gb|EU815939|+|0-861|ARO:3001029|TEM-163,,861,0,0
gb|JF274245|+|0-863|ARO:3001968|CTX-M-108,,864,0,0
